Date,Value,Anomaly
189501,28.6,-2.8
189601,28.2,-3.2
189701,29.1,-2.3
189801,33.6,2.2
189901,29.6,-1.8
190001,30.8,-0.6
190101,31.2,-0.2
190201,29.1,-2.3
190301,29.1,-2.3
190401,23.3,-8.1
190501,26.8,-4.6
190601,35.9,4.5
190701,32.4,1.0
190801,30.5,-0.9
190901,32.6,1.2
191001,29.6,-1.8
191101,34.3,2.9
191201,22.7,-8.7
191301,39.8,8.4
191401,30.5,-0.9
191501,33.5,2.1
191601,35.0,3.6
191701,31.9,0.5
191801,20.7,-10.7
191901,34.6,3.2
192001,23.1,-8.3
192101,33.0,1.6
192201,27.8,-3.6
192301,29.2,-2.2
192401,31.9,0.5
192501,27.7,-3.7
192601,31.2,-0.2
192701,30.2,-1.2
192801,33.2,1.8
192901,31.2,-0.2
193001,32.5,1.1
193101,32.0,0.6
193201,42.4,11.0
193301,39.5,8.1
193401,33.7,2.3
193501,28.1,-3.3
193601,28.5,-2.9
193701,39.5,8.1
193801,31.4,0.0
193901,31.4,0.0
194001,24.2,-7.2
194101,28.7,-2.7
194201,30.0,-1.4
194301,30.0,-1.4
194401,33.2,1.8
194501,24.4,-7.0
194601,33.6,2.2
194701,36.6,5.2
194801,24.7,-6.7
194901,37.7,6.3
195001,40.7,9.3
195101,35.5,4.1
195201,35.2,3.8
195301,36.7,5.3
195401,30.1,-1.3
195501,30.4,-1.0
195601,31.5,0.1
195701,28.0,-3.4
195801,31.4,0.0
195901,30.7,-0.7
196001,33.4,2.0
196101,26.9,-4.5
196201,31.7,0.3
196301,29.3,-2.1
196401,34.8,3.4
196501,28.8,-2.6
196601,31.4,0.0
196701,36.5,5.1
196801,25.9,-5.5
196901,31.0,-0.4
197001,24.3,-7.1
197101,26.1,-5.3
197201,34.2,2.8
197301,34.6,3.2
197401,34.8,3.4
197501,36.9,5.5
197601,26.9,-4.5
197701,21.6,-9.8
197801,27.6,-3.8
197901,31.4,0.0
198001,32.8,1.4
198101,25.2,-6.2
198201,25.1,-6.3
198301,33.5,2.1
198401,28.8,-2.6
198501,27.8,-3.6
198601,33.6,2.2
198701,31.8,0.4
198801,29.0,-2.4
198901,36.8,5.4
199001,40.8,9.4
199101,34.3,2.9
199201,35.2,3.8
199301,35.8,4.4
199401,25.0,-6.4
199501,37.6,6.2
199601,30.8,-0.6
199701,32.4,1.0
199801,40.3,8.9
199901,34.2,2.8
200001,31.6,0.2
200101,33.9,2.5
200201,40.2,8.8
200301,27.8,-3.6
200401,25.0,-6.4
200501,31.6,0.2
200601,41.2,9.8
200701,37.8,6.4
200801,36.8,5.4
200901,28.2,-3.2
201001,32.8,1.4
201101,30.0,-1.4
201201,37.6,6.2
201301,35.4,4.0
201401,28.7,-2.7
201501,30.0,-1.4
201601,34.5,3.1
201701,38.1,6.7
201801,31.8,0.4